"Add New Row","Add New Row"
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Back","Back"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","Canceled"
"Date","Date"
"Default Link Title","Заголовак посилання за замовчуванням"
"Default Maximum Number of Downloads","Максимальна кількість завантажень"
"Default Sample Title","Заголовак зразку"
"Disable Guest Checkout if Cart Contains Downloadable Items","Заборонити оформлення замовлення без регістрації, якщо в корзині знаходяться цифрові товари."
"Downloadable Information","Downloadable Information"
"Downloadable Product","Завантажувальні товари"
"Downloadable Product Options","Параметри цифврофого продукту"
"Downloadable product Section","Downloadable product Section"
"Excl. Tax","Excl. Tax"
"File","File"
"File does not exists","File does not exists"
"From:","From:"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","Incl. Tax"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","Invoiced"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","Links can be purchased separately"
"Max. Downloads","Max. Downloads"
"Message:","Message:"
"My Downloadable Products","My Downloadable Products"
"Open Links in New Window","Відкривати посилання у новому вікні"
"Order #","Order #"
"Order Item Status to Enable Downloads","Статус позиції замовлення для увімкнення можливості завантаження"
"Ordered","Ordered"
"Pending","Pending"
"Please log in to download your product.","Please log in to download your product."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Please specify product link(s)."
"Price","Price"
"Refunded","Refunded"
"Remaining Downloads","Remaining Downloads"
"Remove item","Remove item"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","Sample"
"Shareable","Публічний"
"Shipped","Shipped"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","Sort Order"
"Start Download","Start Download"
"Status","Status"
"Title","Title"
"To:","To:"
"U","U"
"Unlimited","Unlimited"
"View Order","View Order"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","вложене"
"download","download"
"inline","по рядках"
"sample","sample"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"Use Content-Disposition","Використовувати Content-Disposition"
"Guest checkout will only work with shareable.","Гість може зробити замовлення тільки публічних продуктів"
